dateTime,timerName,progNo,iActual2,pha2
2019-07-31 09:44:42.180,ub01l2-timer,101,8.50,42.85
2019-07-31 09:46:14.810,ub01l2-timer,101,8.50,46.01
2019-07-31 09:47:36.550,ub01l2-timer,101,8.49,43.08
2019-07-31 09:48:55.050,ub01l2-timer,101,8.55,45.48
2019-07-31 09:50:08.910,ub01l2-timer,101,8.55,45.33
2019-07-31 09:51:22.730,ub01l2-timer,101,8.48,44.90
2019-07-31 09:53:24.220,ub01l2-timer,101,8.56,42.72
2019-07-31 09:54:06.370,ub01l2-timer,101,8.48,43.04
2019-07-31 09:55:36.130,ub01l2-timer,101,8.52,42.65
2019-07-31 10:02:00.780,ub01l2-timer,101,8.49,42.33
2019-07-31 10:03:07.120,ub01l2-timer,101,8.53,43.31
2019-07-31 10:16:20.920,ub01l2-timer,101,8.52,42.22
2019-07-31 10:17:53.720,ub01l2-timer,101,8.46,42.25
2019-07-31 10:20:16.580,ub01l2-timer,101,8.51,42.83
2019-07-31 10:30:08.860,ub01l2-timer,101,8.51,41.95
2019-07-31 10:35:50.990,ub01l2-timer,101,8.52,41.92
2019-07-31 10:46:00.610,ub01l2-timer,101,8.53,43.94
2019-07-31 10:47:04.890,ub01l2-timer,101,8.51,44.37
2019-07-31 10:50:24.390,ub01l2-timer,101,8.56,44.24
2019-07-31 10:54:09.470,ub01l2-timer,101,8.53,45.11
2019-07-31 10:55:42.460,ub01l2-timer,101,8.56,45.14
2019-07-31 11:04:09.030,ub01l2-timer,101,8.52,42.76
2019-07-31 11:05:10.330,ub01l2-timer,101,8.54,43.48
2019-07-31 11:07:44.610,ub01l2-timer,101,8.55,44.86
2019-07-31 11:09:38.170,ub01l2-timer,101,8.50,44.72
2019-07-31 11:13:20.630,ub01l2-timer,101,8.59,42.51
2019-07-31 11:16:36.410,ub01l2-timer,101,8.51,42.88
2019-07-31 12:11:47.680,ub01l2-timer,101,8.56,41.74
2019-07-31 12:12:58.100,ub01l2-timer,101,8.54,41.87
2019-07-31 12:21:39.350,ub01l2-timer,101,8.54,41.57
2019-07-31 12:29:00.860,ub01l2-timer,101,8.47,41.56
2019-07-31 12:41:13.670,ub01l2-timer,101,8.58,43.92
2019-07-31 12:42:04.900,ub01l2-timer,101,8.50,43.95
2019-07-31 12:43:05.750,ub01l2-timer,101,8.57,44.21
2019-07-31 12:43:58.420,ub01l2-timer,101,8.56,42.73
2019-07-31 12:56:32.550,ub01l2-timer,101,8.55,44.14
2019-07-31 12:57:17.230,ub01l2-timer,101,8.51,42.25
2019-07-31 12:58:03.660,ub01l2-timer,101,8.50,42.45
2019-07-31 12:58:49.430,ub01l2-timer,101,8.52,44.18
2019-07-31 12:59:35.340,ub01l2-timer,101,8.58,42.12
2019-07-31 13:02:40.190,ub01l2-timer,101,8.55,42.34
2019-07-31 13:05:07.070,ub01l2-timer,101,8.47,41.65
2019-07-31 13:08:48.140,ub01l2-timer,101,8.51,41.89
2019-07-31 13:12:36.960,ub01l2-timer,101,8.50,41.68
2019-08-01 10:35:50.570,ub01l2-timer,101,8.61,42.14
2019-08-01 10:37:37.800,ub01l2-timer,101,8.54,41.79
2019-08-01 10:38:46.230,ub01l2-timer,101,8.56,45.63
